,Unnamed: 0,0_RfR 0,1_RfR 0,2_RfR 0,3_RfR 0,4_RfR 0,EWS_DaysToThreat,A.1_DikeIncrease 0,A.2_DikeIncrease 0,A.3_DikeIncrease 0,A.4_DikeIncrease 0,A.5_DikeIncrease 0,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs,Gelderland_Deaths,Gelderland_Damages,Gelderland_Investment,Overijssel_Deaths,Overijssel_Damages,Overijssel_Investment,Total_Deaths,Total_Damages,Total_Investment,Gelderland_RfR,Overijssel_RfR
284,284,0,0,1,1,0,0,1,2,7,2,6,20284101.62041816,32694901.09416193,0.0057244247622558,5557724.958459344,42818415.0,0.0021165807868002,0.0,34221561.0,0.0,0.0,7332080.219521779,0.0,0.0,40273672.0,0.0,151900000.0,0.0,0.007841005549056,25841826.578877505,109734877.09416193,0.0,0.0,47605752.219521776,0.007841005549056,25841826.578877505,309240629.3136837,1,1
426,426,0,1,1,1,0,1,0,3,6,2,9,0.0,0.0,0.0,0.0,47842699.0,0.0,0.0,31398797.71871161,0.0,1665369.891383231,7332080.219521779,0.0003676343817545,0.0,53114002.71688204,0.0,369700000.0,0.0,0.0,0.0,79241496.71871161,0.0003676343817545,1665369.891383231,60446082.93640382,0.0003676343817545,1665369.891383231,509387579.6551154,2,1
2551,2551,0,0,1,1,0,0,2,3,7,0,6,0.0,37255203.0,0.0,0.0,47842699.0,0.0,0.0,34221561.73832255,0.0,9504629.724604934,0.0,0.0019202596145985,0.0,40273672.383724,0.0,151900000.0,0.0,0.0,0.0,119319463.73832256,0.0019202596145985,9504629.724604934,40273672.383724,0.0019202596145985,9504629.724604934,311493136.1220466,1,1
2939,2939,1,0,0,1,0,1,0,3,6,6,7,0.0,0.0,0.0,2086088.3507769944,47842699.0,0.0008102940184195,0.0,31398797.71871161,0.0,0.0,12586457.998778109,0.0,0.0,44193513.54513965,0.0,205800000.0,0.0,0.0008102940184195,2086088.3507769944,79241496.71871161,0.0,0.0,56779971.54391776,0.0008102940184195,2086088.3507769944,341821468.2626294,1,1
3032,3032,0,0,1,1,1,0,1,2,6,1,7,20284101.62041816,32694901.09416193,0.0057244247622558,5557724.958459344,42818415.6714978,0.0021165807868002,0.0,31398797.71871161,0.0,1648190.5167092453,6320800.0,0.0003409830950736,0.0,44193513.54513965,0.0,408000000.0,0.0,0.007841005549056,25841826.578877505,106912114.48437135,0.0003409830950736,1648190.5167092453,50514313.54513965,0.0081819886441296,27490017.09558675,565426428.029511,1,2
4958,4958,1,0,0,1,1,1,3,4,6,1,6,0.0,42291505.65437629,0.0,0.0,53358573.0,0.0,0.0,31398797.71871161,0.0,2663651.3780038613,6320800.309666242,0.0005603284378739,0.0,40273672.383724,0.0,461900000.0,0.0,0.0,0.0,127048876.37308791,0.0005603284378739,2663651.3780038613,46594472.693390235,0.0005603284378739,2663651.3780038613,635543349.0664781,1,2
5682,5682,1,0,0,1,0,0,0,3,7,2,6,0.0,0.0,0.0,2086088.3507769944,47842699.56310011,0.0008102940184195,0.0,34221561.73832255,0.0,1031015.812813727,7332080.219521779,0.0002247297490953,0.0,40273672.383724,0.0,205800000.0,0.0,0.0008102940184195,2086088.3507769944,82064261.30142266,0.0002247297490953,1031015.812813727,47605752.60324577,0.0010350237675148,3117104.1635907213,335470013.90466845,1,1
5712,5712,1,1,1,1,0,0,0,2,7,1,6,0.0,0.0,0.0,5557724.958459344,42818415.6714978,0.0021165807868002,0.0,34221561.73832255,0.0,4140166.8930366407,6320800.0,0.0008726486184327,0.0,40273672.383724,0.0,454300000.0,0.0,0.0021165807868002,5557724.958459344,77039977.40982035,0.0008726486184327,4140166.8930366407,46594472.383724,0.0029892294052328997,9697891.851495985,577934449.7935443,3,1
7116,7116,0,0,1,1,0,0,2,0,6,0,6,0.0,37255203.0,0.0,30182066.15061581,0.0,0.0111457666750008,0.0,31398797.71871161,0.0,5802197.544738538,0.0,0.0011028585152622,0.0,40273672.383724,0.0,151900000.0,0.0,0.0111457666750008,30182066.15061581,68654000.71871161,0.0011028585152622,5802197.544738538,40273672.383724,0.012248625190262999,35984263.69535435,260827673.10243562,1,1
7332,7332,0,1,1,1,1,0,2,2,6,1,6,0.0,37255203.23710208,0.0,5557724.958459344,42818415.0,0.0021165807868002,0.0,31398797.71871161,0.0,1648190.5167092453,6320800.309666242,0.0003409830950736,0.0,40273672.383724,0.0,625800000.0,0.0,0.0021165807868002,5557724.958459344,111472415.95581369,0.0003409830950736,1648190.5167092453,46594472.693390235,0.0024575638818738,7205915.4751685895,783866888.6492039,2,2
7401,7401,1,0,1,1,1,1,0,2,7,1,6,0.0,0.0,0.0,5557724.958459344,42818415.6714978,0.0021165807868002,0.0,34221561.73832255,0.0,1648190.5167092453,6320800.309666242,0.0003409830950736,0.0,40273672.383724,0.0,492600000.0,0.0,0.0021165807868002,5557724.958459344,77039977.40982035,0.0003409830950736,1648190.5167092453,46594472.693390235,0.0024575638818738,7205915.4751685895,616234450.1032106,2,2
7548,7548,1,1,0,1,1,1,1,5,6,1,6,0.0,32694901.09416193,0.0,0.0,59410102.93073928,0.0,0.0,31398797.0,0.0,2663651.3780038613,6320800.0,0.0005603284378739,0.0,40273672.383724,0.0,679700000.0,0.0,0.0,0.0,123503801.02490121,0.0005603284378739,2663651.3780038613,46594472.383724,0.0005603284378739,2663651.3780038613,849798273.4086252,2,2
